Numero,One_Way_Delay_seg
455,0.077166
456,0.076571
457,0.026576
458,0.138980
459,0.088907
460,0.121716
461,0.071585
462,0.088691
463,0.077161
464,0.100208
465,0.119044
466,0.109434
467,0.059021
468,0.117581
469,0.073880
470,0.114839
471,0.064695
472,0.153804
473,0.103786
474,0.076150
475,0.126075
476,0.075891
477,0.135493
478,0.085402
479,0.071362
480,0.061060
481,0.117589
482,0.091322
483,0.041114
484,0.039804
485,0.046368
486,0.126046
487,0.122357
488,0.158747
489,0.108665
490,0.058575
491,0.124960
492,0.108008
493,0.080622
494,0.110255
495,0.060133
496,0.109956
497,0.059931
498,0.091645
499,0.088242
500,0.091144
501,0.041016
502,0.070313
503,0.121932
504,0.071758
505,0.021331
506,0.056885
507,0.096396
508,0.076696
509,0.124813
510,0.101525
511,0.101146
512,0.118094
513,0.068110
514,0.087293
515,0.126998
516,0.187062
517,0.136902
518,0.139999
519,0.089812
520,0.075745
521,0.109099
522,0.072022
523,0.131569
524,0.081357
525,0.123881
526,0.073859
527,0.093653
528,0.055986
529,0.139119
530,0.089163
531,0.125505
532,0.075367
533,0.084973
534,0.080719
535,0.120390
536,0.140588
537,0.119534
538,0.069660
539,0.078901
540,0.028796
541,0.098316
542,0.048327
543,0.081011
544,0.063871
545,0.113878
546,0.063921
547,0.051688
548,0.044422
549,0.087419
550,0.130587
551,0.087515
552,0.136893
553,0.086689
554,0.115624
555,0.131941
556,0.081337
557,0.141621
558,0.121071
559,0.071140
560,0.063750
561,0.080455
562,0.113120
563,0.126077
564,0.075855
565,0.102591
566,0.135586
567,0.148056
568,0.097951
569,0.074159
570,0.097548
571,0.073528
572,0.123556
573,0.073681
574,0.074950
575,0.061486
576,0.141403
577,0.091422
578,0.119888
579,0.086156
580,0.095841
581,0.081836
582,0.134953
583,0.084838
584,0.034702
585,0.087923
586,0.150601
587,0.100546
588,0.117037
589,0.066856
590,0.113373
591,0.089779
592,0.186342
593,0.136173
594,0.105917
595,0.159026
596,0.108892
