frame.number,frame.time_relative,frame.time_delta,ip.src,ip.dst,_ws.col.protocol,_ws.col.packet_length,_ws.col.info
"58","57.710728000","0.025601000","192.168.20.131","192.168.20.144","UDP","1514","60161 → 20252 Len=1472"
"59","58.695766000","0.985038000","192.168.20.144","192.168.20.131","UDP","60","20252 → 60161 Len=2"
"60","58.710768000","0.015002000","192.168.20.131","192.168.20.144","UDP","1514","60161 → 20252 Len=1472"
"61","61.289437000","2.578669000","192.168.20.144","192.168.20.131","UDP","60","20252 → 60161 Len=2"
"62","61.715883000","0.426446000","192.168.20.131","192.168.20.144","UDP","1514","60161 → 20252 Len=1472"
"63","62.305625000","0.589742000","192.168.20.144","192.168.20.131","UDP","60","20252 → 60161 Len=2"
"64","62.319761000","0.014136000","192.168.20.131","192.168.20.144","UDP","1414","60161 → 20252 Len=1372"
"65","65.288966000","2.969205000","192.168.20.144","192.168.20.131","UDP","60","20252 → 60161 Len=2"
"66","65.324830000","0.035864000","192.168.20.131","192.168.20.144","UDP","1414","60161 → 20252 Len=1372"
"67","66.302502000","0.977672000","192.168.20.144","192.168.20.131","UDP","60","20252 → 60161 Len=2"
"68","66.324169000","0.021667000","192.168.20.131","192.168.20.144","UDP","44","60161 → 20252 Len=2"
"69","66.461749000","0.137580000","192.168.100.3","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, "QM" question"
"70","66.461750000","0.000001000",,,"MDNS","102","Standard query 0x0000 PTR _googlecast._tcp.local, "QM" question"
"71","66.461750000","0.000000000","192.168.100.3","224.0.0.251","MDNS","386","Standard query response 0x0000 PTR B866V2-ad079093117c3da38ba33a0eae47a8f2._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 ad079093-117c-3da3-8ba3-3a0eae47a8f2.local A, cache flush 192.168.100.3"
"72","66.461750000","0.000000000",,,"MDNS","418","Standard query response 0x0000 PTR B866V2-ad079093117c3da38ba33a0eae47a8f2._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 ad079093-117c-3da3-8ba3-3a0eae47a8f2.local AAAA, cache flush 2803:9800:901c:426d:6b8f:c6be:2144:5b7f"
"73","66.561160000","0.099410000",,,"MDNS","418","Standard query response 0x0000 PTR B866V2-d3ca8946be78a64c1578e591d3e47499._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 d3ca8946-be78-a64c-1578-e591d3e47499.local AAAA, cache flush 2803:9800:901c:426d:b844:1054:b7aa:8a02"
"74","68.896199000","2.335039000","192.168.20.144","192.168.20.131","UDP","60","20252 → 60161 Len=2"
"75","68.909074000","0.012875000","192.168.20.144","192.168.20.131","UDP","60","20252 → 60161 Len=2"
"76","72.409821000","3.500747000","192.168.100.160","224.0.0.251","MDNS","122","Standard query 0x0000 SRV B866V2-d3ca8946be78a64c1578e591d3e47499._googlecast._tcp.local, "QM" question"
"77","72.602520000","0.192699000","192.168.100.4","224.0.0.251","MDNS","189","Standard query response 0x0000 SRV, cache flush 0 0 8009 d3ca8946-be78-a64c-1578-e591d3e47499.local A, cache flush 192.168.100.4"
