Numero,One_Way_Delay_seg
1,0.001691
2,0.001093
3,0.001181
4,0.001012
5,0.000913
6,0.001084
7,0.001145
8,0.204062
9,0.154149
10,0.103866
11,0.053382
12,0.006211
13,0.001013
14,0.001384
15,0.001242
16,0.001053
17,0.001260
18,0.001168
19,0.000934
20,0.001064
21,0.001046
22,0.001246
23,0.001060
24,0.001034
25,0.001290
26,0.001152
27,0.001122
28,0.001083
29,0.153828
30,0.103706
31,0.053618
32,0.006247
33,0.153858
34,0.103554
35,0.053290
36,0.006098
37,0.001113
38,0.001146
39,0.101851
40,0.051688
41,0.004852
42,0.002083
43,0.001233
44,0.001084
45,0.001321
46,0.000979
47,0.001039
48,0.000994
49,0.000956
50,0.001182
51,0.000936
52,0.001125
53,0.000940
54,0.000991
55,0.000931
56,0.001261
57,0.000866
58,0.001316
59,0.000989
60,0.001152
61,0.052880
62,0.010769
63,0.001012
64,0.000971
65,0.001162
66,0.001308
67,0.001127
68,0.001025
69,0.051340
70,0.022178
71,0.001276
72,0.001279
73,0.001014
74,0.000945
75,0.001016
76,0.001103
77,0.000877
78,0.000431
79,0.000475
80,0.000447
81,0.000412
82,0.000909
83,0.051234
84,0.016233
85,0.000931
86,0.000897
87,0.001023
88,0.318369
89,0.268485
90,0.221487
91,0.171222
92,0.121093
93,0.070867
94,0.153883
95,0.103635
96,0.053387
97,0.218964
98,0.168726
99,0.118580
100,0.068355
101,0.021359
102,0.001417
103,0.001091
104,0.154538
105,0.104006
106,0.053795
107,0.006530
108,0.001177
109,0.001481
110,0.000475
111,0.000569
112,0.001048
113,0.001117
114,0.001099
115,0.001384
116,0.001110
117,0.001099
118,0.000953
119,0.001097
120,0.000958
121,0.051220
122,0.012591
123,0.001102
124,0.001009
125,0.001275
126,0.001037
127,0.000956
128,0.001882
129,0.000970
130,0.000423
131,0.001019
132,0.001035
133,0.001081
134,0.001317
135,0.001036
136,0.001089
137,0.001100
138,0.000497
139,0.000988
140,0.001058
141,0.154039
142,0.103462
143,0.053199
144,0.006673
145,0.001111
146,0.001002
147,0.001115
148,0.001020
149,0.001302
150,0.000935
151,0.051505
152,0.004014
153,0.001094
154,0.000853
155,0.001205
156,0.001360
157,0.001055
158,0.153850
159,0.103786
160,0.053568
161,0.006651
162,0.001017
163,0.000967
164,0.000972
165,0.000985
166,0.001077
167,0.000935
168,0.000922
169,0.001028
170,0.000405
171,0.000960
172,0.001018
173,0.000979
174,0.000973
175,0.000996
176,0.000896
177,0.000965
178,0.051431
179,0.008616
180,0.000983
181,0.001210
182,0.001020
183,0.051337
184,0.029038
185,0.001051
186,0.001035
187,0.001437
188,0.001609
189,0.000858
190,0.001178
191,0.000925
192,0.000940
193,0.103518
194,0.053203
195,0.005889
196,0.001295
197,0.001022
198,0.001062
199,0.051280
200,0.016593
201,0.001299
202,0.001027
203,0.001157
204,0.001280
205,0.000985
206,0.001053
207,0.001218
208,0.001137
209,0.000979
210,0.051788
211,0.020157
212,0.001044
213,0.001074
214,0.001024
215,0.001229
216,0.000400
217,0.101662
218,0.051607
219,0.031858
220,0.001118
221,0.000901
222,0.000976
223,0.000909
224,0.001113
225,0.001325
226,0.000992
227,0.001846
228,0.001093
229,0.000353
230,0.001033
231,0.001097
232,0.001441
233,0.001134
234,0.001042
235,0.001297
236,0.000893
237,0.001410
238,0.000988
239,0.001354
240,0.101677
241,0.051675
242,0.012990
243,0.001148
244,0.001148
245,0.001049
246,0.001024
247,0.001018
248,0.001197
249,0.000996
250,0.001015
251,0.001150
252,0.001045
253,0.001176
254,0.000928
255,0.000974
256,0.001117
257,0.101642
258,0.051522
259,0.015380
260,0.001180
261,0.001020
262,0.001243
263,0.001008
264,0.000928
265,0.001073
266,0.000944
267,0.001070
268,0.001011
269,0.000971
270,0.001126
271,0.001007
272,0.001420
273,0.000932
274,0.001089
275,0.001233
276,0.000994
277,0.001243
278,0.001012
279,0.001562
280,0.001219
281,0.000976
282,0.000973
283,0.001157
284,0.001049
285,0.001250
286,0.000984
287,0.001056
288,0.001037
289,0.001273
290,0.001181
291,0.001027
292,0.000573
293,0.001138
294,0.001071
295,0.001064
296,0.001323
297,0.004645
298,0.001405
299,0.001073
300,0.001363
301,0.001065
302,0.001094
303,0.001255
304,0.001037
305,0.103535
306,0.053304
307,0.210795
308,0.160493
309,0.110277
310,0.059988
311,0.011071
312,0.001271
313,0.001296
314,0.001074
315,0.001452
316,0.051272
317,0.004479
318,0.001450
319,0.000990
320,0.103175
321,0.052949
322,0.005476
323,0.001082
324,0.001183
325,0.001304
326,0.000985
327,0.000971
328,0.000909
329,0.000351
330,0.003098
331,0.000962
332,0.001097
333,0.000991
334,0.001099
335,0.000928
336,0.000918
337,0.001246
